's-hertogenbosch	(name) 's-Hertogenbosch
a cappella	(adj) (music) a cappella; (music) a cappella
a kuku	(intj) peekaboo!
a kysz	(intj) (dismissal, informal) shoo! (especially towards an animal)
a posteriori	(adj) (literary, logic, philosophy) a posteriori; (literary, logic, philosophy) a posteriori
a priori	(adj) (literary, logic, philosophy) a priori; (literary, logic, philosophy) a priori
a sio	(intj) (idiomatic) shoo, go away (command encouraging someone to leave)
a u was murzynów biją	(phrase) (idiomatic, humorous) a stereotypical tu quoque response to criticism
aalborg	(name) Aalborg
aalborski	(adj) (relational) of Aalborg
aalen	(noun) (geology) Aalenian
aarhus	(name) Aarhus (second largest city in Denmark)
abak	(noun) abacus (a counting frame)
abaka	(noun) Manila hemp
abakan	(name) Abakan (a city in Khakassia, Russia); Abakan (a river in Khakassia, Russia)
abakus	(noun) abacus (a counting frame); (architecture) abacus
abandon	(noun) (law, nautical) legal waiving of rights to one's ship that has lost trade value
abazja	(noun) (medicine) abasia
abazyński	(adj) (relational) Abaza; Abaza (language)
abażur	(noun) lampshade
abażurowy	(adj) (relational) lampshade
abc	(noun) 101 (basic knowledge)
abchaski	(adj) (relational) Abkhaz; Abkhaz (language)
abchaskość	(noun) the quality of being Abkhaz
abchasku	(adj) old dative of abchaski
abchaz	(noun) Abkhaz
abchazja	(name) Abkhazia
abcug	(noun) (dated) interval, gap, distance
abdomen	(noun) (anatomy) abdomen (of a person); (arthropod anatomy) abdomen (of an insect)
abdominalny	(adj) (relational) abdominal
abdukcja	(noun) (medicine) abduction; (mathematics) abduction, abductive reasoning
abdukcyjny	(adj) (relational) abductional
abduktor	(noun) (anatomy) abductor
abdykacja	(noun) (law) abdication
abdykacyjny	(adj) (relational) abdication
abdykować	(verb) (intransitive, law) to abdicate
abecadlarz	(noun) (archaic) beginner male student; (archaic or derogatory) male teacher
abecadlnik	(noun) (archaic) primer (introductory book); (archaic) primer
abecadlny	(adj) (obsolete) alphabetical
abecadło	(noun) ABC (alphabet); ABC's (fundamentals of a subject)
abecadłowo	(adv) alphabetically (organized based on alphabetical order)
abecadłowy	(adj) (relational) alphabetical (of or relating to alphabets); alphabetical (organized based on alphabetical order)
abecedariusz	(noun) beginner student (student who is new to a field); index (list of alphabetized items)
aberracja	(noun) (psychology, formal) aberration (minor mental disorder); (electronics, photography, optics) aberration…
aberracyjny	(adj) (relational, not comparable) aberration; aberrational; aberrational (deviating from the norm)
abidżan	(name) Abidjan (de facto capital city of Ivory Coast)
abietyna	(noun) (organic chemistry) abietin
abietynowy	(adj) (relational) abietin (of or relating to abietin)
abiogeneza	(noun) (biology) abiogenesis
abiogenny	(adj) (relational) abiogenetic (of or relating to abiogenesis)
abiologia	(noun) abiology
abiotyczny	(adj) abiotic
abisal	(noun) (geography) abyssal zone
abisalny	(adj) (relational, geography) abyssal (of or relating to the abyssal zone)
abisobiont	(noun) (biology) abyssal denizen
abisofil	(noun) (biology) abyssal denizen
abisyński	(adj) (relational) Abyssinian
abiturient	(noun) high school leaver
abiudykacja	(noun) (law) abjudication of someone's right of ownership
ablacja	(noun) (geology) ablation; (meteorology) ablation
ablacyjny	(adj) (relational, geology) ablational; (relational, meteorology) ablational
ablaktacja	(noun) (animal, biology) ablactation lactation suppression; (horticulture) ablactation, inarching
ablaktować	(verb) (transitive, horticulture) to trim plants through the processes of ablactation
ablatiwus	(noun) (grammar) ablative (particularly in the Latin language)
ablatyw	(noun) (grammar) Alternative form of ablatiwus
ablegier	(noun) (horticulture) layer, offshoot, particularly in the process of layering; (beekeeping, dated) nucleus, colony
ablegierek	(noun) (dated, humorous) sprout, child
ablegrować	(verb) (transitive, horticulture) to layer, to perform the process of layering
ablucja	(noun) (Christianity) ablution; (formal) ablution (act washing)
abnegacja	(noun) (literary) slovenliness, untidiness
abnegacki	(adj) slovenly
abnegat	(noun) sloven, slob; (literary) humble person
abo	(conj) or
abolicja	(noun) (law) amnesty, annulment; (law) abolition (act of lifting a law)
abolicjonista	(noun) (law) abolitionist (someone in favor of lifting a law); (historical) abolitionist (someone in favor of…
abolicjonistyczny	(adj) (relational, law) abolitionist; (relational, historical) abolitionist
abolicjonizm	(noun) (law) abolitionism; (historical) abolitionism (support for the abolition of slavery)
abolicyjny	(adj) (relational, law) abolitional, amnesty, annulment
abominacja	(noun) (literary) abhorrence, aversion, abomination (feeling of extreme disgust)
abonament	(noun) subscription (periodic payment for a service)
abonamentowy	(adj) (relational) subscription, subscription-based
abonencki	(adj) (relational) subscriber's (of or related to subscribers)
abonent	(noun) subscriber
abonować	(verb) (transitive) to subscribe [+accusative = to what]
aborcja	(noun) (medicine) abortion (act of inducing abortion)
aborcjonista	(noun) proabortionist, pro-choice activist; abortionist, someone who performs an abortion
aborcjonistyczny	(adj) (relational) abortionist's (of or relating to abortionists)
aborcyjny	(adj) (relational) abortion; abortive
abordaż	(noun) (nautical) abordage, boarding
abordażowy	(adj) (relational) abordage, boarding (of or relating to abordage or boarding)
abort	(noun) (medicine) abortion (act of inducing abortion); (computing) force quit, closing (act of stopping a program)
aborter	(noun) (medicine) aborter (a person performing a medical abortion)
abortować	(verb) (transitive, rare) to abort
aboś	(conj) Combined form of abo + -ś
abradować	(verb) (transitive, geology) to abrade
abraham	(name) (biblical) Abraham
abrahamizm	(noun) Abrahamism
abrakadabra	(intj) abracadabra!; abracadabra, mumbo jumbo (complicated technical or other jargon)
abram	(name) Abram (Biblical character)
abrazja	(noun) (geology) abrasion; (medicine) curettage
abrazyjny	(adj) abrasion, abrasional
abrewiacja	(noun) (palaeography) scribal abbreviation
abrewiatura	(noun) (palaeography) scribal abbreviation; (music) abbreviation
abrogacja	(noun) (law) abrogation
abrogować	(verb) (transitive, law) to abrogate
absces	(noun) (pathology) abscess
absencja	(noun) (formal) absenteeism, absence
absencyjny	(adj) (relational) absenteeism, absence, absential
absenteista	(noun) absentee
absenteizm	(noun) absenteeism
absentować	(verb) (dated, reflexive) to be absent
absmak	(noun) distaste, bad taste (in the mouth); (dated, by extension) distaste, bad taste (experiential)
absolucja	(noun) (Christianity) absolution; (dated, law) absolution
absolut	(noun) (philosophy) Absolute; (chemistry) absolute
absolutnie	(adv) absolutely (entirely); absolutely (unquestionably)
absolutność	(noun) absoluteness
absolutny	(adj) absolute (entire); absolute (unquestionable)
absolutorium	(noun) (law) discharge, vote of approval, vote of acceptance; (education) certificate of completion
absolutoryjny	(adj) (law, relational) discharge, vote of approval, vote of acceptance; (education, relational) certificate of…
absolutysta	(noun) (politics) absolutist; (metaphysics) absolutist
absolutystyczny	(adj) (relational, politics) absolutist
absolutyzacja	(noun) absolutization
absolutyzm	(noun) (politics) absolutism; (philosophy) absolutism
absolutyzować	(verb) (transitive, formal) to absolutize
absolwencki	(adj) (relational) graduate
absolwent	(noun) graduate
absolwować	(verb) (transitive, Christianity) to absolve
absorbancja	(noun) (physics) absorbency
absorbat	(noun) (chemistry) absorbate
absorbent	(noun) (chemistry) absorbent, absorber (anything which absorbs)
absorber	(noun) (chemistry, technology) absorber; (technology) scrubber
absorbować	(verb) (chemistry, physics, transitive) to absorb; (figuratively, transitive) to absorb, to engross, to preoccupy…
absorpcja	(noun) absorption; (chemistry, physics) absorption
absorpcyjność	(noun) (chemistry, economics, optics, physics) absorbency, absorptiveness; (linguistics) suffixation
absorpcyjny	(adj) (relational, chemistry, optics, physics) absorption, absorptional, absorbent; (relational, business,…
abstrahować	(verb) (intransitive, formal) to disregard, to disregard, to prescind [+ od (genitive) = what]; (transitive,…
abstrakcja	(noun) abstraction (act of abstracting); abstraction (separation from reality)
abstrakcjonista	(noun) abstractionist; (art) abstractionist
abstrakcjonistyczny	(adj) (art, relational) abstractionism; abstractionist
abstrakcjonizm	(noun) (art) abstractionism
abstrakcyjnie	(adv) abstractly, abstractively (in a way separated from reality); abstractly, abstractively (hard to understand)
abstrakcyjność	(noun) abstractness, abstractiveness (in a way separated from reality); abstractness, abstractiveness (hard to…
abstrakcyjny	(adj) abstract, abstractive (in a way separated from reality); abstract, abstractive (hard to understand)
